Jahr,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2002,3032,6070,1815,1337,167,398,2435,1120,4388,4626,1099,219,1522,1002,1375,856
2003,3099,6214,1844,1369,173,400,2493,1143,4485,4712,1112,231,1562,1001,1415,863
2004,3184,6306,1826,1379,175,417,2521,1151,4586,4840,1129,242,1587,1014,1453,870
2005,3264,6516,1835,1430,184,413,2580,1152,4785,4970,1191,245,1625,996,1483,853
2006,3381,6664,1846,1483,183,443,2574,1149,4884,5067,1258,256,1648,1023,1538,862
2007,3399,6565,1827,1529,176,424,2620,1180,4925,5184,1277,253,1661,1015,1592,891
2008,3448,6692,1855,1532,179,429,2661,1192,5040,5227,1303,260,1698,1037,1630,915
2009,3487,6847,1884,1589,178,435,2736,1191,5121,5338,1326,268,1728,1049,1674,929
2010,3566,7031,1915,1599,183,453,2806,1168,5242,5473,1333,268,1758,1058,1731,947
2011,3624,7170,1942,1645,184,470,2872,1176,5417,5597,1324,286,1811,1065,1738,944
2012,3682,7344,1971,1664,186,483,2922,1206,5555,5755,1354,300,1846,1076,1771,962
2013,3774,7493,1997,1674,181,492,2951,1221,5642,5892,1382,309,1895,1088,1813,971
2014,3851,7625,1997,1705,189,503,3015,1236,5738,6027,1406,313,1936,1103,1831,972
2015,3929,7657,2010,1756,191,517,3033,1234,5879,6163,1427,322,1956,1131,1862,968
2016,3993,7693,2045,1767,187,530,3091,1250,5976,6263,1459,332,1946,1147,1884,977
2017,4097,7913,2077,1812,187,543,3135,1265,6091,6433,1486,345,1965,1161,1938,1001
2018,4208,8052,2129,1829,182,546,3175,1270,6199,6586,1499,346,2000,1166,1956,1004
2019,4160,8169,2201,1899,202,569,3208,1267,6301,6668,1578,307,2037,1174,2006,963
2020,4361,8310,2208,1926,194,575,3229,1275,6398,6767,1608,348,2031,1185,2064,982
2021,4441,8406,2260,1903,185,596,3251,1269,6504,6935,1638,353,2041,1196,2077,994
2022,4473,8453,2279,1911,187,624,3278,1260,6653,7048,1670,357,2053,1194,2177,1001
2023,4539,8618,2307,1910,197,638,3257,1275,6729,7181,1690,369,2106,1178,2170,999
2024,4650,8827,2360,1929,188,634,3302,1262,6819,7304,1516,373,2139,1170,2179,993
2025,4729,8938,2315,1935,191,654,3382,1248,6872,7432,1502,374,2180,1129,2214,994
