Jahr,Deutschland,Frankreich,Japan,USA,Brasilien,CN,Summe: Hunde (Mio.),Summe: Katzen (Mio.)
2000,42.9,49.8,57.1,47.3,70,55.6,331.5,294.2
2001,42.5,48.9,56.7,47.2,70,55.6,336.3,297.9
2002,42.1,48,56.4,47.1,70,55.6,341.4,301.9
2003,41.8,47.1,56,47.1,70,55.6,347,306.2
2004,41.4,46.2,55.7,47,70,55.6,352.8,310.7
2005,41,45.3,55.3,46.9,69.8,55.6,359.5,315.7
2006,40.7,44.4,54.9,46.9,69.7,55.6,366.5,321
2007,40.3,43.5,54.6,47.2,69.5,55.6,371.3,322.4
2008,40,42.6,54.2,47.5,69.4,55.6,376.5,324
2009,39.6,41.7,53.5,47.8,69.2,55.6,382,326
2010,39.3,40.9,52.8,48.1,69.1,55.6,387.9,328.3
2011,39.3,40.1,52.3,48.4,68.9,55.6,394.6,331.3
2012,39.3,39.4,51.9,50.1,68.8,55.6,403.8,332.6
2013,39.3,38.4,51.4,51.8,68.6,55.6,413.5,334.6
2014,39.3,37.5,51,53.5,68.8,55.6,420.4,334.4
2015,39.3,36.6,50.3,55.1,68.9,55.6,427.6,334.9
2016,39.3,35.7,48.9,56.8,69.1,55.6,434.7,335.5
2017,39.3,34.9,47.5,56.5,69.2,55.6,442.5,341.5
2018,39.3,34,46.2,56.2,69.4,55.6,450.8,347.9
2019,39.9,33.6,44.8,55.9,69.4,55.5,461.8,357.7
2020,40.5,33.2,43.5,55.5,69.4,52.9,469.2,369.3
2021,38.1,33.2,43.1,55.4,69.4,50.2,481.3,387.1
2022,41.1,33.8,42.7,55.3,69.4,47.6,491.4,401.2
2023,40.1,33.8,42.3,55.1,69.4,45,496.9,412.5
2024,39.8,36.7,41.9,55,69.4,42.4,504.2,426.7
2025,39.7,36.7,41.5,54.8,69.4,42,512.6,433.2
2026,39.6,36.6,41.1,54.7,69.4,41.6,521,442.8
