Jahr,Praxisinhaber:innen,Angestellte in Praxen
1991,8510,1880
1992,8514,1966
1993,8632,2198
1994,8834,2483
1995,9046,2685
1996,9779,2885
1997,9600,3040
1998,9806,3101
1999,10022,3266
2000,10247,3493
2001,10387,3615
2002,10475,
2003,10568,4035
2004,10713,4192
2005,11072,4256
2006,11358,4437
2007,11442,4639
2008,11546,4926
2009,11637,5225
2010,11757,5534
2011,11832,5980
2012,11906,6346
2013,11938,6692
2014,11933,7119
2015,11926,7595
2016,11972,7932
2017,11976,8365
2018,12010,8852
2019,12019,9350
2020,12001,9732
2021,11889,10227
2022,11743,10652
2023,11437,11429
2024,11264,11990
2025,11216,12125
